"sales_order_number","customer_id","order_date","shipping_method","terms","web_order","subtotal","total","order_weight","first_order_month","months_since_first_order"
31009,"S002-SREIL",2023-07-24,NA,"NET30",FALSE,1508,1508,0,2023-01-01,6
31011,"S046-SPOC",2023-07-24,NA,"NET30",FALSE,608,608,0,2023-01-01,6
31012,"M030-MORGO",2023-07-24,NA,"NET45",FALSE,2188,2188,0,2023-01-01,6
31013,"M030-MORGO",2023-07-24,NA,"NET45",FALSE,14154.1,14154.1,0,2023-01-01,6
30920,"F022-F&D",2023-07-17,"CPICK",NA,FALSE,852.75,852.75,0,2023-01-01,6
30921,"F022-F&D",2023-07-17,"CPICK",NA,FALSE,2196.2,2196.2,0,2023-01-01,6
30922,"F022-F&D",2023-07-17,"CPICK",NA,FALSE,375,375,0,2023-01-01,6
30923,"R029-RUSTI",2023-07-17,NA,NA,FALSE,8000,8000,0,2023-01-01,6
30924,"C060-CREA",2023-07-17,NA,NA,FALSE,192.5,192.5,0,2023-01-01,6
30925,"S025-SAKAI",2023-07-17,"MWS-T","NET30",FALSE,1526.18,1526.18,0,2023-01-01,6
30926,"S025-SAKAI",2023-07-17,"MWS-T","NET30",FALSE,5105.4,5105.4,0,2023-01-01,6
30927,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,547.2,547.2,0,2023-01-01,6
30928,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,974.67,974.67,0,2023-01-01,6
30929,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,623.28,623.28,0,2023-01-01,6
30930,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,1376,1376,0,2023-01-01,6
30931,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,2856,2856,0,2023-01-01,6
30932,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,3147,3147,0,2023-01-01,6
30933,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,3147,3147,0,2023-01-01,6
30934,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,939.4,939.4,0,2023-01-01,6
30935,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,1946,1946,0,2023-01-01,6
30936,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,140,140,0,2023-01-01,6
30937,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,2587.2,2587.2,0,2023-01-01,6
30938,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,5703.6,5703.6,0,2023-01-01,6
30939,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,2358.4,2358.4,0,2023-01-01,6
30940,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,18586.4,18586.4,0,2023-01-01,6
30941,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,4514,4514,0,2023-01-01,6
30943,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,3525,3525,0,2023-01-01,6
30945,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,15516,15516,0,2023-01-01,6
30946,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,15516,15516,0,2023-01-01,6
30942,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,6088.8,6088.8,0,2023-01-01,6
30944,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,8572.4,8572.4,0,2023-01-01,6
30948,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,20119.4,20119.4,0,2023-01-01,6
30949,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,1385.1,1385.1,0,2023-01-01,6
30950,"S038-STLKI",2023-07-17,"MWS-T","NET60",FALSE,13568.4,13568.4,0,2023-01-01,6
30952,"S038-STLKI",2023-07-17,"MWS-T","NET60",FALSE,2300,2300,0,2023-01-01,6
30953,"M030-MORGO",2023-07-18,"MWS-T","NET45",FALSE,3654,3654,0,2023-01-01,6
30954,"M030-MORGO",2023-07-18,"MWS-T","NET45",FALSE,19486.5,19486.5,0,2023-01-01,6
30955,"M030-MORGO",2023-07-18,"MWS-T","NET45",FALSE,14792,14792,0,2023-01-01,6
30956,"H005-HAMES",2023-07-18,NA,"NET30",FALSE,641.25,641.25,0,2023-05-01,2
30957,"M030-MORGO",2023-07-18,NA,"NET45",FALSE,4923,4923,0,2023-01-01,6
30958,"S002-SREIL",2023-07-18,NA,"NET30",FALSE,1316.34,1316.34,0,2023-01-01,6
30959,"F022-F&D",2023-07-18,"CPICK",NA,FALSE,3189.6,3189.6,0,2023-01-01,6
30947,"M030-MORGO",2023-07-17,"MWS-T","NET45",FALSE,20372.5,20372.5,0,2023-01-01,6
30951,"S046-SPOC",2023-07-17,NA,"NET30",FALSE,471.78,471.78,0,2023-01-01,6
30962,"F022-F&D",2023-07-18,"CPICK",NA,FALSE,170.55,170.55,0,2023-01-01,6
30964,"A053-AIRMA",2023-07-19,NA,NA,FALSE,6220.59,6220.59,0,2023-07-01,0
30965,"S025-SAKAI",2023-07-19,"MWS-T","NET30",FALSE,23966.8,23966.8,0,2023-01-01,6
30966,"A045-AFS",2023-07-19,NA,NA,FALSE,4422,4422,619,2023-01-01,6
