sales_order_number,uom,part_group,short_description,long_description,order_quantity,quantity_shipped,base_price,extended_price
28276,EA,LVSLS,208007454 ANG INR STL LH,208007454 ANG INR STL LH ,60,60,12.62,757.2
28309,EA,LVSLS,157050407 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,5.57,445.6
28314,EA,LVSLS,177005412 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,2.04,163.2
28318,EA,LVSLS,087032405 WHEEL BX END PANEL RH,"087032405 WHEEL BX END PANEL RH
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.47,197.6
28321,EA,LVSLS,117094400 BRKT MDL,"117094400 BRKT MDL
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.27,181.6
28322,EA,LVSLS,127070401 HDR BHD Z AL .102 X 12.48 X 87.41,"127070401 HDR BHD Z AL .102 X 12.48 X 87.41
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***
",80,80,11.69,935.2
31876,EA,LVSLS,188007201 ANG WLDMT OB LH,NA,140,140,42.5,5950
31876,EA,LVSLS,188007202 ANG WLDMT OB RH,NA,140,140,42.5,5950
31879,EA,LVSLS,208007454 ANG INR STL LH,208007454 ANG INR STL LH ,140,140,13.9,1946
31880,EA,LVSLS,165007404 ANG INCR C/P STL .25 X 6 X 13.7 RH,165007404 ANG INCR C/P STL .25 X 6 X 13.7 RH,110,110,10.62,1168.2
31899,EA,LVSLS,229147508 BRKT LAT RR STL.25X3X12.27 YL DICHR,229147508 BRKT LAT RR STL.25X3X12.27 YL DICHR,100,100,7.5,750
31899,EA,LVSLS,217032400 BRKT H/SHLD,217032400 BRKT H/SHLD,100,100,22.57,2257
31900,EA,LVSLS,001710410 ROOF BOW,001710410 ROOF BOW,140,140,26.39,3694.6
31900,EA,LVSLS,165007403 ANG INCR C/P STL .25 X 6 X 13.7 LH,165007403 ANG INCR C/P STL .25 X 6 X 13.7 LH,100,100,10.62,1062
31900,EA,LVSLS,218078400 ANG ATCH LH,218078400 ANG ATCH LH,100,100,10.94,1094
31877,EA,LVSLS,205101407 SPCR S/FRM STL11GAX6X8.5 GALV,205101407 SPCR S/FRM STL11GAX6X8.5 GALV,240,240,5.13,1231.2
31877,EA,LVSLS,217032400 BRKT H/SHLD,217032400 BRKT H/SHLD,150,150,22.57,3385.5
31878,EA,LVSLS,96760315 STRIKER BODY REAR (COATED PART),96760315 STRIKER BODY REAR (COATED PART) ,140,140,5.71,799.4
31880,EA,LVSLS,215007512 Z FWD C/P STL7GAX5.71X22.38RH F59 GALV,215007512 Z FWD C/P STL7GAX5.71X22.38RH F59 GALV,110,110,15.16,1667.6
31901,EA,LVSLS,117142400  S MIR LH (COATED PART),117142400  S MIR LH  (COATED PART) ,140,140,1,140
31901,EA,LVSLS,117142401  S MIR RH (COATED PART),117142401  S MIR RH  (COATED PART) ,140,140,1,140
31901,EA,LVSLS,128024410 BASE REINF (COATED PART),128024410 BASE REINF (COATED PART) ,140,140,1.44,201.6
31902,EA,LVSLS,46027706 BRKT FUSE BLK KYLS 90 DEG TYCO #2311181,46027706 BRKT FUSE BLK KYLS 90 DEG TYCO #2311181,140,140,2.26,316.4
31881,EA,LVSLS,188007202 ANG WLDMT OB RH,NA,120,110,42.5,5100
31881,EA,LVSLS,208078401 C/P RR D/FLR,208078401 C/P RR D/FLR ,150,150,114.75,17212.5
31882,EA,LVSLS,128024410 BASE REINF (COATED PART),128024410 BASE REINF (COATED PART) ,150,150,1.44,216
31883,EA,LVSLS,117142401  S MIR RH (COATED PART),117142401  S MIR RH  (COATED PART) ,150,150,1,150
31883,EA,LVSLS,128024410 BASE REINF (COATED PART),128024410 BASE REINF (COATED PART) ,150,150,1.44,216
31884,EA,LVSLS,197147405 LINK LAT BHD (COATED PART),NA,330,330,0.99,326.7
31884,EA,LVSLS,46027706 BRKT FUSE BLK KYLS 90 DEG TYCO #2311181,46027706 BRKT FUSE BLK KYLS 90 DEG TYCO #2311181,160,160,2.26,361.6
31885,EA,LVSLS,237070401 BHD STIFFENEER - PRODUCTION SUPPLIES,237070401 BHD STIFFENEER - PRODUCTION SUPPLIES ,150,150,20.91,3136.5
31886,EA,LVSLS,218078401 ANG ATCH RH,218078401 ANG ATCH RH,150,150,10.94,1641
31887,EA,LVSLS,218078400 ANG ATCH LH,218078400 ANG ATCH LH,140,140,10.94,1531.6
31887,EA,LVSLS,208078401 C/P RR D/FLR,208078401 C/P RR D/FLR ,140,140,114.75,16065
31888,EA,LVSLS,237070401 BHD STIFFENEER - PRODUCTION SUPPLIES,237070401 BHD STIFFENEER - PRODUCTION SUPPLIES ,140,140,20.91,2927.4
31890,EA,LVSLS,218078400 ANG ATCH LH,218078400 ANG ATCH LH,140,140,10.94,1531.6
31891,EA,LVSLS,217032400 BRKT H/SHLD,217032400 BRKT H/SHLD,140,140,22.57,3159.8
31892,EA,LVSLS,46027706 BRKT FUSE BLK KYLS 90 DEG TYCO #2311181,46027706 BRKT FUSE BLK KYLS 90 DEG TYCO #2311181,180,180,2.26,406.8
31892,EA,LVSLS,001710410 ROOF BOW,001710410 ROOF BOW,140,140,26.39,3694.6
31893,EA,LVSLS,217032400 BRKT H/SHLD,217032400 BRKT H/SHLD,80,80,22.57,1805.6
31889,EA,LVSLS,3394 DOOR RIGHT,3394 DOOR RIGHT,10,10,207.64,2076.4
31894,EA,LVSLS,208007454 ANG INR STL LH,208007454 ANG INR STL LH ,150,150,13.9,2085
31895,EA,LVSLS,002027423 BRKT SHFT (COATED PART),002027423 BRKT SHFT (COATED PART) ,160,144,6.13,980.8
31895,EA,LVSLS,001710410 ROOF BOW,001710410 ROOF BOW,140,140,26.39,3694.6
31896,EA,LVSLS,117142400  S MIR LH (COATED PART),117142400  S MIR LH  (COATED PART) ,140,140,1,140
31896,EA,LVSLS,117142401  S MIR RH (COATED PART),117142401  S MIR RH  (COATED PART) ,140,140,1,140
31897,EA,LVSLS,229147518 LINK KEY STL.125X2.25X2.79L CYL YL DICHR,229147518 LINK KEY STL.125X2.25X2.79L CYL YL DICHR,100,100,2.78,278
31897,EA,LVSLS,217032400 BRKT H/SHLD,217032400 BRKT H/SHLD,60,60,22.57,1354.2
